Package,LibPath,Version,Priority,Built
proxy,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.4-27,NA,4.3.0
ps,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.7.5,NA,4.3.0
purrr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.2,NA,4.3.0
R.cache,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.16.0,NA,4.3.0
R.methodsS3,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.8.2,NA,4.3.0
R.oo,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.25.0,NA,4.3.0
R.utils,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.12.2,NA,4.3.0
R6,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.5.1,NA,4.3.0
ragg,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.5,NA,4.3.0
rapidjsonr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.0,NA,4.3.0
rappdirs,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.3,NA,4.3.0
raster,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,3.6-23,NA,4.3.0
rcmdcheck,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.0,NA,4.3.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1-3,NA,4.3.1
Rcpp,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.11,NA,4.3.1
RcppArmadillo,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.12.6.3.0,NA,4.3.0
RcppEigen,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.3.3.9.3,NA,4.3.0
readr,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.1.4,NA,4.3.0
rematch,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.0,NA,4.3.0
rematch2,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.1.2,NA,4.3.0
remotes,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.4.2.1,NA,4.3.0
renv,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.2,NA,4.3.0
reshape2,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.4,NA,4.3.0
rex,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.1,NA,4.3.0
rgdal,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.6-7,NA,4.3.0
rgl,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.2.1,NA,4.3.0
rhub,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.2,NA,4.3.0
rlang,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.1.1,NA,4.3.0
rmapshaper,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.5.0,NA,4.3.0
rmarkdown,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.24,NA,4.3.0
RNifti,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.5.0,NA,4.3.0
roxygen2,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,7.2.3,NA,4.3.0
rpart,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,4.1.19,recommended,4.3.1
rprojroot,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.0.3,NA,4.3.0
RRPP,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.4.0,NA,4.3.0
rstudioapi,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,0.15.0,NA,4.3.0
rversions,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,2.1.2,NA,4.3.0
rvest,/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library,1.0.3,NA,4.3.1
